Date,Company,Close,Volume,Profit
1/2/2013,Apple,19.608213,560518000,10990756334.334
1/3/2013,Apple,19.360714,352965200,6833658289.152801
1/4/2013,Apple,18.821428,594333600,11186207060.3808
1/7/2013,Apple,18.710714,484156400,9058911931.6696
1/8/2013,Apple,18.76107,458707200,8605837888.704
1/9/2013,Apple,18.467857,407604400,7527579771.7708
1/10/2013,Apple,18.696787,601146000,11239498717.902
1/11/2013,Apple,18.582144,350506800,6513167830.5792
1/14/2013,Apple,17.919643,734207600,13156738079.8868
1/15/2013,Apple,17.354286,876772400,15215758986.5064
1/16/2013,Apple,18.074642,690804800,12486049451.881601
1/17/2013,Apple,17.952856,453678400,8144822985.5104
1/18/2013,Apple,17.857143,472922800,8445050067.5604
1/22/2013,Apple,18.0275,461546400,8320527726.0
1/23/2013,Apple,18.3575,861509600,15815162482.000002
1/24/2013,Apple,16.089287,1460852400,23504073528.2388
1/25/2013,Apple,15.71,1208026400,18978094744.0
1/28/2013,Apple,16.065357,785517600,12619620673.7832
1/29/2013,Apple,16.366785,571158000,9348020187.03
1/30/2013,Apple,16.315357,417155200,6806036012.4064
1/31/2013,Apple,16.2675,319334400,5194772351.999999
2/1/2013,Apple,16.200714,539484400,8740032471.8616
2/4/2013,Apple,15.797143,477117200,7537088636.1596
2/5/2013,Apple,16.351429,573347600,9375052573.7204
2/6/2013,Apple,16.333929,593706400,9697558184.4456
2/7/2013,Apple,16.722143,704580800,11782100892.6544
2/8/2013,Apple,16.963572,633158400,10740628105.8048
2/11/2013,Apple,17.140356,517490400,8869969682.5824
2/12/2013,Apple,16.710714,609053200,10177713835.9848
2/13/2013,Apple,16.678928,475207600,7925953345.4528
2/14/2013,Apple,16.663929,355275200,5920280708.260799
2/15/2013,Apple,16.434286,391745200,6438052655.9272
2/19/2013,Apple,16.428213,435783600,7159145802.7067995
2/20/2013,Apple,16.030357,476302400,7635297511.9567995
2/21/2013,Apple,15.930714,447182400,7123934920.2336
2/22/2013,Apple,16.100357,330654800,5323660323.763599
2/25/2013,Apple,15.814286,372579200,5892074026.4512
2/26/2013,Apple,16.034643,501499600,8041367050.642799
2/27/2013,Apple,15.8775,587350400,9325655976.0
2/28/2013,Apple,15.764286,322515200,5084221852.1472
3/1/2013,Apple,15.373929,552448400,8493302477.7636
3/4/2013,Apple,15.001786,582755600,8742374801.5016
3/5/2013,Apple,15.397857,638433600,9830509276.7952
3/6/2013,Apple,15.202143,460250000,6996786315.75
3/7/2013,Apple,15.377857,468473600,7204120029.0752
3/8/2013,Apple,15.418571,391482000,6036093012.222
3/11/2013,Apple,15.638214,474236000,7416204054.504
3/12/2013,Apple,15.301071,465911600,7128946471.3236
3/13/2013,Apple,15.298214,405549200,6204178449.128799
3/14/2013,Apple,15.446429,303875600,4693792880.2324
3/15/2013,Apple,15.845,643960800,10203558876.0
3/18/2013,Apple,16.275715,606197200,9866292860.998001
3/19/2013,Apple,16.231787,526775200,8550502843.2824
3/20/2013,Apple,16.145714,308660800,4983548999.8112
3/21/2013,Apple,16.168928,383255600,6196832201.9968
3/22/2013,Apple,16.496786,395105200,6517965931.8872
3/25/2013,Apple,16.556429,501135600,8297015980.772401
3/26/2013,Apple,16.469286,294294000,4846812054.084
3/27/2013,Apple,16.145714,331237200,5348061097.360801
3/28/2013,Apple,15.809286,442839600,7000977888.5256
4/1/2013,Apple,15.318214,389732000,5969998178.648
4/2/2013,Apple,15.349643,529519200,8127930681.6456
4/3/2013,Apple,15.428214,363216000,5603774176.224
4/4/2013,Apple,15.275714,358447600,5475543021.5864
4/5/2013,Apple,15.114286,383695200,5799278989.6272
4/8/2013,Apple,15.221786,300829200,4579157704.9512
4/9/2013,Apple,15.249286,306614000,4675644577.604
4/10/2013,Apple,15.560357,375928000,5849573886.296
4/11/2013,Apple,15.511786,328364400,5093518302.8184
4/12/2013,Apple,15.35,238613200,3662712620.0
4/15/2013,Apple,14.994643,317520000,4761099045.36
4/16/2013,Apple,15.222857,305771200,4654711252.318399
4/17/2013,Apple,14.385714,945056000,13595305329.984
4/18/2013,Apple,14.001786,666299200,9329378810.371199
4/19/2013,Apple,13.9475,609274400,8497854694.0
4/22/2013,Apple,14.238214,429920400,6121298658.1656
4/23/2013,Apple,14.504643,664238400,9634540858.8912
4/24/2013,Apple,14.480714,969651200,14041241706.9568
4/25/2013,Apple,14.585,384837600,5612856396.0
4/26/2013,Apple,14.9,764097600,11385054240.0
4/29/2013,Apple,15.361429,640326400,9836328530.4256
4/30/2013,Apple,15.813571,691538400,10935691587.6264
5/1/2013,Apple,15.688929,506909200,7952862448.2468
5/2/2013,Apple,15.911429,421828400,6711892636.7836
5/3/2013,Apple,16.070715,361300800,5806362186.072
5/6/2013,Apple,16.45393,496641600,8171706121.488
5/7/2013,Apple,16.380714,483753200,7924222815.784801
5/8/2013,Apple,16.565714,472598000,7828923304.972
5/9/2013,Apple,16.313213,398487600,6500613096.6588
5/10/2013,Apple,16.1775,334852000,5417068229.999999
5/13/2013,Apple,16.240713,316948800,5147474496.4944
