Company,Open,High,Low,Close,Adj Close,Volume,Avg Stock Price,Market Value
AMD,33.20493246664019,33.88935264972201,32.47577444956315,33.18933676727561,33.18933676727561,51318071.08816521,33.197134616957904,22.490566815310764
AT & T,25.12830441938046,25.312109955520256,24.932514198173152,25.124128971405877,16.850342488085783,41601977.272041306,20.98932345373312,8.611622561578182
Activision,51.13718824702145,51.71006354567117,50.49266483717236,51.117224011517074,50.02471837926926,7665161.795075457,50.58095331314536,3.777576202276347
Ali Baba,149.10128076600984,150.92901325714286,146.97101237931037,148.96259112610838,148.96259112610838,18682940.14778325,149.03193594605912,27.689708943082966
Amazon,73.82353615726767,74.66189798570294,72.88135649642574,73.78004878752978,73.78004878752978,80256170.41302621,73.80179247239873,60.22454420676135
Apple,62.383386701350275,63.08769296902304,61.696664121127874,62.41659932208102,60.63703017950755,171353978.95154884,61.51020844042891,78.11188445273812
Bank of America,24.969563152899127,25.233653673153295,24.69675533717236,24.96375695194599,22.98838510325655,76193222.04130262,23.97897412807784,16.225513332450376
Cisco,37.62176331810961,37.96516681413821,37.284483685067514,37.63445192851469,33.007037588562355,25494831.215250198,35.31440045333598,8.417249810347034
CocoCola,47.15237094162033,47.47315728355838,46.828097698570296,47.156437639396344,40.85774674225576,14311506.949960286,44.005058841938045,6.3174116324643235
Disney,111.55260526846703,112.52559174821286,110.44557988522638,111.49629063264496,108.27842102740271,9422361.914217632,109.91551314793486,10.628028197375901
EA,89.99114375416998,91.08544479269261,88.85014300277999,89.99173943169183,89.08463471882446,3508126.0921366164,89.53788923649722,2.8805866290299726
Exxon,78.62043683598094,79.29594119896743,77.93657273947576,78.631362124305,61.55123327204131,16523194.916600477,70.08583505401111,11.060523609515412
Ford,12.65235106791104,12.792482139793487,12.494241464257346,12.643292295472598,10.407106557982527,48280132.684670374,11.529728812946784,5.612175798769519
Google,59.301045249007146,59.90520904408261,58.70845360127085,59.31566504725973,59.31566504725973,39606891.7700556,59.30835514813344,19.936046067743813
Intel,40.637335159253375,41.08111601548848,40.202021428911834,40.65018661239079,35.90288235941223,29846613.26449563,38.27010875933281,11.144516712650873
JP Morgan,94.61716050913424,95.50300630420969,93.72644563264495,94.61540502779984,84.0535900234313,15659187.847498015,89.33537526628277,13.298141630754564
Match,52.199437069102466,53.20558862827641,51.16062101072279,52.180394195790306,51.42633487847498,2789955.166799047,51.812885973788724,1.427071112057136
McDonalds,161.6060643149325,162.79785543089753,160.4312669686259,161.63173950794283,146.69566122637013,4278301.231135822,154.15086277065132,5.940772867148047
Meta,155.5431532827641,157.5051945694996,153.5909214424146,155.5830222573471,155.5830222573471,29759171.40587768,155.5630877700556,38.296475470269236
Microsoft,121.78466245075457,122.99995234392375,120.51151305917394,121.81820889356632,117.31509677640986,32249446.346306592,119.5498796135822,36.19486692721666
Netflix,239.04334394082605,242.7430315416998,235.1553569499603,239.05316959412232,239.05316959412232,12594880.381254964,239.04825676747421,20.48158865257972
Nvidia,64.63860497776012,65.84725674583002,63.34222202144559,64.63488383836378,64.3708140166799,44631621.36616362,64.50470949722002,30.490607598592955
Paypal,108.49442336301006,109.95043345045045,106.81400583359832,108.4181506290408,108.4181506290408,9701337.99682035,108.45628699602544,10.38060290338624
Pfizer,35.35968182168387,35.68206321961874,35.036787237490074,35.36318167633042,29.956524710881652,28898585.781969815,32.658103266282765,9.326001824798912
Salesforce,125.139053771247,126.68369640865767,123.44723700992853,125.10844609372518,125.10844609372518,5848054.845115171,125.1237499324861,7.713389966958147
Tesla,73.16810430182684,74.80452970015885,71.35579930381256,73.10227110484512,73.10227110484512,112096042.49404289,73.13518770333597,74.55889942191955
Trade Desk,34.33439502911393,35.24673089493671,33.40580759240506,34.33953448670886,34.33953448670886,10631396.772151899,34.33696475791139,3.1148623331497247
Walmart,98.36402696505164,99.16914224900715,97.6322717319301,98.39735511358221,90.69693896822875,8164516.123907863,94.53048296664018,7.662724459921759
Yelp,39.01542491223193,39.77104049523432,38.2599682025417,39.008482915409054,39.008482915409054,2119435.901509134,39.01195391382049,0.9186919264330273
Zillow Group,46.4604151370135,47.45669990786338,45.434888399126294,46.44031260643368,46.44031260643368,1746387.2748212868,46.45036387172359,0.6513482983542296
